node,inflow,supply,demand,outflow,lhs = inflow + supply,rhs = demand + outflow,constraint_ok
1935,2.2923696,0.0,0.0,2.2923696,2.2923696,2.2923696,True
1936,5e-13,0.0,0.0,0.0,5e-13,0.0,True
1937,0.0,0.0,0.0,0.0,0.0,0.0,True
1938,126.536114,0.0,0.0,126.53611,126.536114,126.53611,True
1939,1.5731948,0.0,0.0,1.5731948,1.5731948,1.5731948,True
1940,515.37948,0.0,0.0,515.37948,515.37948,515.37948,True
1941,3.8486223,0.0,0.0,3.8486223,3.8486223,3.8486223,True
1942,0.0,0.0,0.0,0.0,0.0,0.0,True
1943,10.405403,0.0,0.0,10.405403199999999,10.405403,10.405403199999999,True
1944,171.47186,0.0,0.0,171.47186811,171.47186,171.47186811,True
1945,533.2168300000001,0.0,0.0,533.2168355,533.2168300000001,533.2168355,True
1946,1.5e-12,0.0,0.0,1.5e-12,1.5e-12,1.5e-12,True
1947,0.0,0.0,0.0,0.0,0.0,0.0,True
1948,310.62142,0.0,0.0,310.621417,310.62142,310.621417,True
1949,0.0,0.0,0.0,0.0,0.0,0.0,True
1950,31.878012000000997,0.0,0.0,31.878012,31.878012000000997,31.878012,True
1951,118.50217,0.0,0.0,118.50217,118.50217,118.50217,True
1952,0.0,0.0,0.0,0.0,0.0,0.0,True
1953,5.695961,0.0,0.0,5.695961,5.695961,5.695961,True
1954,3.65619113,0.0,0.0,3.6561912,3.65619113,3.6561912,True
1955,0.8725282,0.0,0.0,0.8725282,0.8725282,0.8725282,True
1956,227.98963,0.0,0.0,227.989631,227.98963,227.989631,True
1957,1120.2492,0.0,0.0,1120.249178,1120.2492,1120.249178,True
1958,29.249529,0.0,0.0,29.249529,29.249529,29.249529,True
1959,385.38397890000005,0.0,0.0,385.38398,385.38397890000005,385.38398,True
1960,160.02756,0.0,0.0,160.02756,160.02756,160.02756,True
1961,76.105262,0.0,0.0,76.105262,76.105262,76.105262,True
1962,1e-12,0.0,0.0,1e-12,1e-12,1e-12,True
1963,23.9865938,0.0,0.0,23.986593,23.9865938,23.986593,True
1964,2.3690463,0.0,0.0,2.3690463,2.3690463,2.3690463,True
1965,0.0,0.0,0.0,0.0,0.0,0.0,True
1966,102.68124,0.0,0.0,102.68124,102.68124,102.68124,True
1967,308.4783762,0.0,0.0,308.4783800000005,308.4783762,308.4783800000005,True
1968,1.7529885,0.0,0.0,1.7529885,1.7529885,1.7529885,True
1969,187.971658,0.0,0.0,187.97166,187.971658,187.97166,True
1970,0.0,0.0,0.0,0.0,0.0,0.0,True
1971,53.110987,0.0,0.0,53.110987699999995,53.110987,53.110987699999995,True
1972,106.95345,0.0,0.0,106.95345,106.95345,106.95345,True
1973,0.0,0.0,0.0,0.0,0.0,0.0,True
1974,0.0,0.0,0.0,0.0,0.0,0.0,True
1975,2.1552285,0.0,0.0,2.1552285,2.1552285,2.1552285,True
1976,0.61341377,0.0,0.0,0.61341377,0.61341377,0.61341377,True
1977,0.0,0.0,0.0,0.0,0.0,0.0,True
1978,85.254857,0.0,0.0,85.2548581,85.254857,85.2548581,True
1979,0.0,0.0,0.0,0.0,0.0,0.0,True
1980,0.3939597,0.0,0.0,0.3939597,0.3939597,0.3939597,True
1981,0.0,0.0,0.0,0.0,0.0,0.0,True
1982,0.0,0.0,0.0,0.0,0.0,0.0,True
1983,461.794843,0.0,0.0,461.79484499999995,461.794843,461.79484499999995,True
1984,293.688362,0.0,0.0,293.68837,293.688362,293.68837,True
1985,326.8056,0.0,0.0,326.805599,326.8056,326.805599,True
1986,4.9262365,0.0,0.0,4.9262365,4.9262365,4.9262365,True
1987,0.0,0.0,0.0,0.0,0.0,0.0,True
1988,0.0,0.0,0.0,0.0,0.0,0.0,True
1989,4.0410534,0.0,0.0,4.0410534,4.0410534,4.0410534,True
1990,519.08818,0.0,0.0,519.08818,519.08818,519.08818,True
1991,16.966533,0.0,0.0,16.966533,16.966533,16.966533,True
1992,0.0,0.0,0.0,0.0,0.0,0.0,True
1993,45.432279,0.0,0.0,45.4322789,45.432279,45.4322789,True
1994,56.235133,0.0,0.0,56.235132990000004,56.235133,56.235132990000004,True
1995,0.0,0.0,0.0,0.0,0.0,0.0,True
1996,98.057226,0.0,0.0,98.057226,98.057226,98.057226,True
1997,1e-12,0.0,0.0,1e-12,1e-12,1e-12,True
