node,inflow,supply,max_supply,demand,outflow,lhs = inflow + supply,rhs = demand + outflow,flow_balance_ok,supply_ok
1,1952.9673471065032,4.580066082882337e-05,0.0,0.0,1952.9673929530543,1952.9673929071641,1952.9673929530543,True,True
2,2223.313735044234,4.331713458144842e-05,0.0,0.0,2223.3137784043197,2223.3137783613683,2223.3137784043197,True,True
3,1998.1887578560436,4.5760011417691807e-05,0.0,0.0,1998.1888036615214,1998.188803616055,1998.1888036615214,True,True
4,3577.0884154086402,4.164328062302685e-05,0.0,0.0,3577.088457093039,3577.088457051921,3577.088457093039,True,True
5,1427.2395196554878,4.410322626383765e-05,0.0,0.0,1427.2395638028288,1427.239563758714,1427.2395638028288,True,True
6,1986.055550630449,4.21086620069305e-05,0.0,0.0,1986.0555927812195,1986.055592739111,1986.0555927812195,True,True
7,2681.062432714084,4.136789416037853e-05,0.0,0.0,2681.0624741233682,2681.062474081978,2681.0624741233682,True,True
8,2239.8227239154976,4.577415004161313e-05,0.0,0.0,2239.8227697357897,2239.8227696896474,2239.8227697357897,True,True
9,3628.126900328948,4.5824509239265374e-05,0.0,0.0,3628.1269461988863,3628.126946153457,3628.1269461988863,True,True
10,2976.262090706239,4.553175768230845e-05,0.0,0.0,2976.262136282894,2976.262136237997,2976.262136282894,True,True
11,2683.797047328144,4.523605693060964e-05,0.0,0.0,2683.797092609497,2683.7970925642007,2683.797092609497,True,True
12,553.5556936876927,4.211177279564992e-05,0.0,0.0,553.5557358416557,553.5557357994655,553.5557358416557,True,True
13,2398.404559494183,4.5459326080072e-05,0.0,0.0,2398.40460500151,2398.404604953509,2398.40460500151,True,True
14,1960.940154324152,4.505040117185176e-05,0.0,0.0,1960.9401994195728,1960.9401993745532,1960.9401994195728,True,True
15,1285.5081817522218,4.5860481390686006e-05,0.0,0.0,1285.5082276591029,1285.5082276127032,1285.5082276591029,True,True
16,1039.7810019738442,4.5526170991186526e-05,0.0,0.0,1039.7810475446315,1039.7810475000151,1039.7810475446315,True,True
17,2711.674139777675,4.323389431342637e-05,0.0,0.0,2711.6741830549436,2711.6741830115693,2711.6741830549436,True,True
18,1209.9015595633045,4.545519662694031e-05,0.0,0.0,1209.901605063926,1209.9016050185012,1209.901605063926,True,True
19,4211.885206632357,4.595598016308986e-05,0.0,0.0,4211.885252634451,4211.885252588338,4211.885252634451,True,True
20,1199.2589978639721,4.3776744546019065e-05,0.0,0.0,1199.2590416845017,1199.2590416407168,1199.2590416845017,True,True
21,595.4850035645155,4.430040131098167e-05,0.0,0.0,595.4850479092428,595.4850478649169,595.4850479092428,True,True
22,2061.463195172665,3.896630027671641e-05,0.0,0.0,2061.463234177899,2061.463234138965,2061.463234177899,True,True
23,739.7297582296844,4.5838651627764365e-05,0.0,0.0,739.7298041142856,739.7298040683361,739.7298041142856,True,True
24,1719.3082058175473,4.548721507118158e-05,0.0,0.0,1719.3082513501531,1719.3082513047625,1719.3082513501531,True,True
25,1537.7002241810455,4.210546974777631e-05,0.0,0.0,1537.7002663277826,1537.7002662865152,1537.7002663277826,True,True
26,536.0570768445259,4.528280025569536e-05,0.0,0.0,536.0571221726423,536.0571221273261,536.0571221726423,True,True
27,1932.338421835102,3.9402205410998825e-05,0.0,0.0,1932.3384612766963,1932.3384612373075,1932.3384612766963,True,True
28,360.56331497088837,4.553580178621653e-05,0.0,0.0,360.5633605521484,360.5633605066902,360.5633605521484,True,True
29,1275.5020254681197,4.576926951569096e-05,0.0,0.0,1275.5020712827295,1275.5020712373891,1275.5020712827295,True,True
30,464.5953575546772,4.546567110918532e-05,0.0,0.0,464.5954030715083,464.59540302034833,464.5954030715083,True,True
31,1810.934016286191,4.527969040837099e-05,0.0,0.0,1810.9340616111533,1810.9340615658814,1810.9340616111533,True,True
32,1300.5511306387461,4.585121745039215e-05,0.0,0.0,1300.5511765359174,1300.5511764899636,1300.5511765359174,True,True
33,1539.1752344355418,4.187064205515339e-05,0.0,0.0,1539.1752763480717,1539.1752763061838,1539.1752763480717,True,True
34,2024.3546880367792,4.549624628326228e-05,0.0,0.0,2024.354733580623,2024.3547335330254,2024.354733580623,True,True
35,2633.3488526613833,4.2346921113205625e-05,0.0,0.0,2633.34889505061,2633.348895008304,2633.34889505061,True,True
36,1766.1175390607439,4.576108122611527e-05,0.0,0.0,1766.1175848673547,1766.1175848218252,1766.1175848673547,True,True
37,2392.6896860011466,4.593361821911832e-05,0.0,0.0,2392.6897319808077,2392.689731934765,2392.6897319808077,True,True
38,223.4224771332914,4.527031650768136e-05,0.0,0.0,223.42252244883912,223.42252240360793,223.42252244883912,True,True
39,444.4294257127034,4.5280660076993376e-05,0.0,0.0,444.42947103860377,444.42947099336345,444.42947103860377,True,True
40,1764.8277194603954,4.0878135837432974e-05,0.0,0.0,1764.827760379354,1764.8277603385313,1764.827760379354,True,True
41,100.30195011811932,4.583896918044139e-05,0.0,0.0,100.30199600384601,100.30199595708851,100.30199600384601,True,True
42,1131.336180124756,4.545101524311395e-05,0.0,0.0,1131.3362256210776,1131.3362255757713,1131.3362256210776,True,True
43,3854.172922339824,4.514974430472333e-05,0.0,0.0,3854.1729675347387,3854.1729674895682,3854.1729675347387,True,True
44,936.201729549633,4.574844149315192e-05,0.0,0.0,936.2017753438889,936.2017752980745,936.2017753438889,True,True
45,2802.355519002198,4.59682143391317e-05,0.0,0.0,2802.355565009545,2802.355564970412,2802.355565009545,True,True
46,2734.362153277185,4.178719966086205e-05,0.0,0.0,2734.3621951061727,2734.3621950643847,2734.3621951061727,True,True
47,567.9829337461593,4.5507416010371344e-05,0.0,0.0,567.9829792991119,567.9829792535753,567.9829792991119,True,True
48,973.313916716491,4.5967126099054927e-05,0.0,0.0,973.3139627297189,973.3139626836171,973.3139627297189,True,True
49,1130.8752669333664,4.2653364982621294e-05,0.0,0.0,1130.8753096294663,1130.8753095867314,1130.8753096294663,True,True
50,1613.2301893149167,4.503481735738117e-05,0.0,0.0,1613.2302343949618,1613.230234349734,1613.2302343949618,True,True
51,589.2784273120354,4.584592749945866e-05,0.0,0.0,589.2784732038101,589.2784731579629,589.2784732038101,True,True
52,1474.3114006457704,4.596990663747996e-05,0.0,0.0,1474.3114466607265,1474.3114466156771,1474.3114466607265,True,True
53,256.2078916344676,4.527222738212647e-05,0.0,0.0,256.2079369517714,256.207936906695,256.2079369517714,True,True
54,536.7002869308798,4.518099638651237e-05,0.0,0.0,536.7003321570411,536.7003321118762,536.7003321570411,True,True
55,214.3297598685948,4.532515929512816e-05,0.0,0.0,214.32980523907875,214.3298051937541,214.32980523907875,True,True
56,418.8934845499367,2.219773135947815e-05,0.0,0.0,418.8935067698662,418.8935067476681,418.8935067698662,True,True
57,1915.1474490205944,4.596046040757338e-05,0.0,0.0,1915.14749502765,1915.147494981055,1915.14749502765,True,True
58,2158.402426122366,4.1980905457690726e-05,0.0,0.0,2158.4024681452192,2158.402468103271,2158.4024681452192,True,True
59,583.0523491696844,4.542454789743261e-05,0.0,0.0,583.0523946396193,583.0523945942323,583.0523946396193,True,True
60,933.1590225908399,4.526316790758606e-05,0.0,0.0,933.1590678994688,933.1590678540077,933.1590678994688,True,True
61,4002.7447576530735,4.413327995726952e-05,0.0,0.0,4002.744801830406,4002.7448017863535,4002.744801830406,True,True
62,3275.6995551006926,4.466838616279395e-05,0.0,0.0,3275.6995998131047,3275.6995997690788,3275.6995998131047,True,True
63,1191.0764835916525,4.197630312979498e-05,0.0,0.0,1191.0765256099344,1191.0765255679557,1191.0765256099344,True,True
64,599.4613800088998,4.166139643665311e-05,0.0,0.0,599.4614217117335,599.4614216702962,599.4614217117335,True,True
65,743.5203575493296,4.574628283653692e-05,0.0,0.0,743.520403340794,743.5204032956124,743.520403340794,True,True
66,858.2387125526787,4.428906270669108e-05,0.0,0.0,858.2387568860324,858.2387568417414,858.2387568860324,True,True
67,1081.9598188705772,4.4736377098813256e-05,0.0,0.0,1081.9598636524374,1081.9598636069543,1081.9598636524374,True,True
68,1740.3603954444116,4.328357780388232e-05,0.0,0.0,1740.360438771552,1740.3604387279893,1740.360438771552,True,True
69,1629.5786754092876,4.426760908471968e-05,0.0,0.0,1629.5787197210361,1629.5787196768968,1629.5787197210361,True,True
70,197.9804367854677,4.524747304763831e-05,0.0,0.0,197.98048207845903,197.98048203294076,197.98048207845903,True,True
71,123.1170491749056,4.535974425881588e-05,0.0,0.0,123.11709458001472,123.11709453464987,123.11709458001472,True,True
72,1451.5012978746163,4.568625127434124e-05,0.0,0.0,1451.5013436063766,1451.5013435608676,1451.5013436063766,True,True
73,1576.867093235091,4.566010151129888e-05,0.0,0.0,1576.8671389410308,1576.8671388951925,1576.8671389410308,True,True
74,574.3490847663252,4.532461379903336e-05,0.0,0.0,574.3491301361722,574.349130090939,574.3491301361722,True,True
75,860.7873963684474,4.553398672939357e-05,0.0,0.0,860.7874419485106,860.7874419024341,860.7874419485106,True,True
76,200.7343165578589,4.576904029039278e-05,0.0,0.0,200.73436237267563,200.7343623268992,200.73436237267563,True,True
77,894.1039384611612,4.283980913552211e-05,0.0,0.0,894.1039813438199,894.1039813009703,894.1039813438199,True,True
78,272.75113368629763,4.546531532773413e-05,0.0,0.0,272.7511792003957,272.751179151613,272.7511792003957,True,True
79,1494.1880337426635,4.5542631953742624e-05,0.0,0.0,1494.1880793304838,1494.1880792852955,1494.1880793304838,True,True
80,1277.7540362547584,4.535961912663231e-05,0.0,0.0,1277.7540816596986,1277.7540816143776,1277.7540816596986,True,True
81,1228.5560685610253,4.557135848322276e-05,0.0,0.0,1228.5561141779222,1228.5561141323838,1228.5561141779222,True,True
82,877.7840190033064,4.204188832387477e-05,0.0,0.0,877.7840610872265,877.7840610451948,877.7840610872265,True,True
83,492.4213624808686,4.516829667894046e-05,0.0,0.0,492.4214076943184,492.42140764916525,492.4214076943184,True,True
84,1178.4884886609468,4.544520189830664e-05,0.0,0.0,1178.4885341504416,1178.4885341061488,1178.4885341504416,True,True
85,2919.8935427296337,4.326386768810722e-05,0.0,0.0,2919.8935860373313,2919.8935859935013,2919.8935860373313,True,True
86,1552.197752498217,4.559672277026169e-05,0.0,0.0,1552.1977981417488,1552.1977980949396,1552.1977981417488,True,True
87,990.1958011380418,4.542361641918546e-05,0.0,0.0,990.1958466072332,990.1958465616582,990.1958466072332,True,True
88,2144.0306740852816,4.318567903220488e-05,0.0,0.0,2144.0307173140627,2144.0307172709604,2144.0307173140627,True,True
89,793.003531385164,4.548947387503092e-05,0.0,0.0,793.0035769203548,793.0035768746379,793.0035769203548,True,True
90,700.2198141732129,4.556251916509219e-05,0.0,0.0,700.2198597813358,700.219859735732,700.2198597813358,True,True
91,2112.6880229603785,4.263343392171467e-05,0.0,0.0,2112.688065636396,2112.6880655938126,2112.688065636396,True,True
92,87.19231571830905,4.330679103212728e-05,0.0,0.0,87.19235906830012,87.19235902510007,87.19235906830012,True,True
93,959.6998347675632,4.567567602727227e-05,0.0,0.0,959.6998804888445,959.6998804432392,959.6998804888445,True,True
94,891.3600744956332,4.548900193290586e-05,0.0,0.0,891.3601200306085,891.360119984635,891.3601200306085,True,True
95,1076.9453810142147,4.467674081538605e-05,0.0,0.0,1076.9454257354862,1076.9454256909555,1076.9454257354862,True,True
96,0.0001362185843109,4.536006689775227e-05,0.0,0.0,0.0001816240178108,0.00018157865120865227,0.0001816240178108,True,True
97,638.9797928880466,4.545821302787068e-05,0.0,0.0,638.9798383889589,638.9798383462596,638.9798383889589,True,True
98,750.0987057322809,4.427304054119744e-05,0.0,0.0,750.0987500495715,750.0987500053214,750.0987500495715,True,True
99,152.8623078098007,4.5769341808759046e-05,0.0,0.0,152.86235362505317,152.8623535791425,152.86235362505317,True,True
100,1131.729580448119,4.576020295704789e-05,0.0,0.0,1131.7296262554346,1131.7296262083219,1131.7296262554346,True,True
101,658.1644299416203,4.164206710985602e-05,0.0,0.0,658.1644716253589,658.1644715836874,658.1644716253589,True,True
102,435.29174282754246,4.566887456535e-05,0.0,0.0,435.2917885420478,435.29178849641704,435.2917885420478,True,True
103,214.59730552115533,4.5242688525263386e-05,0.0,0.0,214.5973508091049,214.59735076384385,214.5973508091049,True,True
104,1528.5503241086515,4.559328287572092e-05,0.0,0.0,1528.5503697473494,1528.5503697019344,1528.5503697473494,True,True
105,130.06788326413425,4.517909202492665e-05,0.0,0.0,130.0679284885073,130.06792844322626,130.0679284885073,True,True
106,2627.1140855832514,4.23326066294193e-05,0.0,0.0,2627.1141279578806,2627.114127915858,2627.1141279578806,True,True
107,1282.5437477482303,4.210853253971147e-05,0.0,0.0,1282.5437898987386,1282.543789856763,1282.5437898987386,True,True
108,680.2373244471851,4.4114484278707045e-05,0.0,0.0,680.2373686055452,680.2373685616693,680.2373686055452,True,True
109,2413.762886824708,4.586009442641783e-05,0.0,0.0,2413.7629327298782,2413.7629326848023,2413.7629327298782,True,True
110,2673.44011346249,4.595750741870687e-05,0.0,0.0,2673.440159465602,2673.4401594199976,2673.440159465602,True,True
111,216.70160157239826,4.213932780406463e-05,0.0,0.0,216.7016437537919,216.70164371172606,216.7016437537919,True,True
112,1427.3948478333723,4.541249184140861e-05,0.0,0.0,1427.3948932912767,1427.394893245864,1427.3948932912767,True,True
113,295.07508001696146,4.5640286588627846e-05,0.0,0.0,295.07512570288185,295.07512565724807,295.07512570288185,True,True
114,879.5470401508068,4.5433070143063575e-05,0.0,0.0,879.5470856293268,879.5470855838769,879.5470856293268,True,True
115,56.993109189793365,4.577427049189067e-05,0.0,0.0,56.99315500982341,56.993154964063855,56.99315500982341,True,True
116,2489.6419734209776,4.594978533804077e-05,0.0,0.0,2489.642019416814,2489.642019370763,2489.642019416814,True,True
117,1917.2790792262415,4.121935609333707e-05,0.0,0.0,1917.2791204869059,1917.2791204455975,1917.2791204869059,True,True
118,473.317644186611,4.518914656296548e-05,0.0,0.0,473.3176894210281,473.3176893757576,473.3176894210281,True,True
119,110.43245544073076,4.553607014020937e-05,0.0,0.0,110.4325010223382,110.43250097680091,110.4325010223382,True,True
120,254.83920931129754,4.5510060840003055e-05,0.0,0.0,254.8392548667258,254.83925482135837,254.8392548667258,True,True
121,65.22994839726319,4.576300362788094e-05,0.0,0.0,65.22999420611762,65.22999416026681,65.22999420611762,True,True
122,834.4114807578379,4.546246900213469e-05,0.0,0.0,834.4115262650196,834.4115262203069,834.4115262650196,True,True
123,930.3437760099569,4.5489247796663686e-05,0.0,0.0,930.3438215455004,930.3438214992046,930.3438215455004,True,True
