from,to,cost,flow,flow_squared,cost_times_flow_squared
14430,13769,0.176627083,8.577100654945931e-05,7.3566655645073924e-09,1.299386379265489e-09
13074,14429,0.10297971,32.0281872171894,1025.8047764193343,105.6370783922779
14428,14036,0.084388589,0.00023649936181142266,5.59319481372102e-08,4.720018183320347e-09
14427,14007,0.011286409,0.00015320831523358734,2.347278785671427e-08,2.6492348412111064e-10
12302,14426,0.137005493,481.0042272604748,231365.0666424465,31698.285018326238
14425,13669,0.050394028,0.009873480124531325,9.74856097695151e-05,4.9126925483220174e-06
13676,14424,0.034078443,33.180778755863805,1100.964078845583,37.5191416059867
4948,14423,0.18516999,33.1914970808078,1101.6754784652726,203.99723733065974
13742,14422,0.068259532,0.00015797456624548406,2.4955963580448832e-08,1.7034823946104815e-09
13924,14421,0.03007714,110.63807877112619,12240.784474165923,368.1677883393148
14420,13601,1.329322237,0.009890438158353203,9.782076696420911e-05,0.00013003532076591814
13072,14419,0.033316222,31.805446723040514,1011.5864412521686,33.702238448947206
14418,13765,0.268214434,135.28585361388886,18302.262188038567,4908.930893684366
14417,13563,0.291478839,0.00034891610901397363,1.2174245112945115e-07,3.5485348312226656e-08
12907,14416,0.164635216,10.797777753566791,116.5920044154219,19.19514983080594
14415,13325,0.004676758,7.340268173593034e-05,5.387953686026281e-09,2.5198155504752895e-11
14414,12156,0.048456411,3.2553422879843466e-05,1.059725341193916e-09,5.135048668000762e-11
12590,14413,0.124635537,33.17839348272302,1100.8057940943972,137.19952127966664
13555,14412,0.258164596,66.369232587294,4404.8750342263265,1137.1827836415262
14411,14345,0.14758375,145.57676548674362,21192.59464958235,3127.6825906152994
13589,14410,0.170743001,93.11212968394082,8669.868694279014,1480.3193991371504
4520,14409,0.101560229,244.24099020872035,59653.66129813623,6058.439502127153
12477,14408,0.345320787,53.98230147020919,2914.088872020549,1006.2954626740784
13778,14407,0.132502947,11.062923618136052,122.38827898071249,16.21680764320256
14406,13272,0.091876438,4.337389876392345e-05,1.8812950939830806e-09,1.7284669206204067e-10
12467,14405,0.141248654,15.226737730720018,231.85354192013259,32.74900072135131
13135,14404,0.135783573,18.254755888107315,333.23611253438867,45.24799001254938
12614,14403,0.184635981,173.16300796554907,29985.42732767681,5536.388790349816
13745,14402,0.033437588,17.313356524203524,299.7523141341807,10.022994382065312
14401,6466,0.23120233,0.006307955619210273,3.9790304093926455e-05,9.199611017924336e-06
14400,13213,0.194700145,0.0055169017750215,3.043620519523538e-05,5.925933564762082e-06
12140,14399,0.058684691,66.3810054751393,4406.4378878904745,258.5904458615451
14398,14011,0.041870986,0.0017762975349514573,3.1552329326746235e-06,1.321127139507581e-07
13075,14397,0.503875792,20.62653327275611,425.45387485211484,214.37590815057828
13600,14396,0.010787866,11.064788133920391,122.42953644854549,1.3207534336490248
14395,12712,0.026239823,9.728176687696367e-06,9.463742166703907e-11,2.4832691937194698e-12
14394,13307,0.390286162,4.930274200131228,24.30760368847962,9.486921350993754
14393,14027,0.044042082,0.00017721795735108095,3.1406204407689546e-08,1.3831946298322246e-09
12970,14392,0.341941198,30.417130075948997,925.201802057201,316.36461258719817
13930,14391,0.158403318,33.18247100874426,1101.0763822461531,174.41415231922696
12130,14390,1.578485358,25.955426411911386,673.6841602241471,1063.4005828303423
12997,14389,0.04501382,15.112126869987032,228.37637853458403,10.28009319560763
13310,14388,0.224342401,3.184092655273002,10.138446037363474,2.2744833264310578
14387,14025,0.036841023,0.00028622345457081605,8.1923865946452e-08,3.018159029582155e-09
14386,13763,0.943060091,0.030041553697425914,0.0009024949485553247,0.0008511069683116247
14385,13263,0.059523412,55.50870880030046,3081.216752676554,183.40453423086862
12596,14384,0.298114823,192.59579066913122,37093.138583467815,11058.014443324975
13138,14383,0.078658863,66.38343516413977,4406.760464191549,346.6307676266594
14382,12821,0.168991818,0.004091540151808356,1.6740700813859946e-05,2.8290414651282716e-06
14381,14380,0.182671212,0.007448455294332372,5.547948627166795e-05,1.0134504998382946e-05
14380,12796,0.153379343,0.018059275043373013,0.00032613741509219537,5.00227424545592e-05
14379,12795,0.339278541,21.459770893303755,460.52176679308707,156.24515313630081
14378,14227,1.804352361,0.004122931760541719,1.699856630208364e-05,3.067140324077965e-05
14377,14376,0.038412426,0.005717663749260165,3.2691678749603806e-05,1.2557666907849287e-06
14376,13759,0.59215515,0.025413239255347848,0.0006458327294495528,0.00038243317678210935
14375,12797,0.501324906,0.003914407615038441,1.5322586976670936e-05,7.681594475756382e-06
13834,14374,0.042306939,1.3212679463253951,1.7457489859869273,0.07385729585946078
6271,14373,0.073939595,34.629239306254604,1199.1842149298488,88.66719518230597
14372,12824,0.088444875,0.0067837098126652335,4.601871882245058e-05,4.070119833911788e-06
14371,12825,0.755756417,0.009253274325971835,8.562308575168953e-05,6.471019650018062e-05
12654,14370,0.0425158,66.37486272848938,4405.622402225808,187.308560928552
13291,14369,0.143745274,33.18573036786874,1101.2927000488858,158.3056209227269
13118,14368,0.590305875,12.713049466062445,161.62162672655063,95.40619578373985
12955,14367,0.138447342,66.3844661009588,4406.897339509349,610.1232231219409
12321,14366,0.08395709,51.757031817926894,2678.790342601897,224.90344188495828
13995,14365,0.034292059,33.19432871918937,1101.8634591176003,37.78516675000484
4852,14364,0.057561066,4.48423207247566,20.10833727981935,1.157457329313942
14079,14363,0.453744041,14.755963079982182,217.73844641779723,98.7975225586733
12697,14362,0.247697675,110.62111542248189,12237.031177314062,3031.084171523206
14361,14231,0.67886565,5.369835126626822e-05,2.88351292871553e-09,1.9575178786358718e-09
